[2025-02-28 19:12:48,245] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:48,272] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:48,276] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:48,281] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:50,524] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:50,546] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:50,552] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:50,575] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:50,580] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:50,655] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:50,669] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:50,684] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:50,697] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:50,703] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:51,503] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:51,526] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:51,531] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:51,554] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:51,559] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:52,270] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:53,101] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:53,106] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:53,119] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:53,133] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:53,147] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:53,160] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:53,191] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:53,205] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:53,218] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:53,231] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:53,244] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:53,260] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:54,323] [INFO] It`S NEED TO SELL! RSI = 100.0
[2025-02-28 19:12:54,323] [INFO] [rsi_subscriber]  Trying to SELL. quantity= 1.
[2025-02-28 19:12:54,323] [INFO] [o_p_w_s] i am working...
[2025-02-28 19:12:54,330] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:54,351] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:54,365] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:54,378] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:54,383] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:54,397] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:54,429] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:54,444] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:54,475] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:54,488] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:54,493] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:54,498] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:54,562] [ERROR] Error in stream processing: <class 'tinkoff.invest.exceptions.AioRequestError'> (<StatusCode.INVALID_ARGUMENT: (3, 'invalid argument')>, '30052', Metadata(tracking_id='4c97761d9b2c2e1208b8093960c10066', ratelimit_limit='450, 450;w=60', ratelimit_remaining=444, ratelimit_reset=6, message='Instrument forbidden for trading by API'))
[2025-02-28 19:12:54,562] [INFO] Will retry after 52.05413979966593 seconds...
[2025-02-28 19:12:56,406] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:56,419] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:56,440] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:56,445] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:56,458] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:56,472] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:58,678] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:58,707] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:58,726] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:58,745] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:58,762] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:58,769] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:58,788] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:58,806] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:58,878] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:58,903] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:58,916] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:58,921] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:59,365] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:59,380] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:59,412] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:59,418] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:59,423] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:12:59,428] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:01,640] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:01,665] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:01,690] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:01,697] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:01,702] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:01,708] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:01,746] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:01,771] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:01,799] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:01,806] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:01,812] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:01,819] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:05,672] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:05,686] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:05,700] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:05,713] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:05,726] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:05,741] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:05,769] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:05,783] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:05,797] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:05,811] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:05,825] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:05,840] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:07,782] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:07,796] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:07,809] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:07,822] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:07,836] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:07,849] [INFO] Not enough data for EMA calculations.
